date,,calories_actual,calories_goal,calories_delta,,cal_by_meal_breakfast_actual,cal_by_meal_lunch_actual,cal_by_meal_dinner_actual,cal_by_meal_snack_actual,cal_by_meal_total_actual,cal_by_meal_breakfast_goal,cal_by_meal_lunch_goal,cal_by_meal_dinner_goal,cal_by_meal_snack_goal,cal_by_meal_total_goal,cal_by_meal_breakfast_delta,cal_by_meal_lunch_delta,cal_by_meal_dinner_delta,cal_by_meal_snack_delta,cal_by_meal_total_delta,,cal_pct_breakfast,cal_pct_lunch,cal_pct_dinner,cal_pct_snack,,macro_total_fat_actual,macro_total_carbs_actual,macro_protein_actual,macro_total_actual,macro_total_fat_goal,macro_total_carbs_goal,macro_protein_goal,macro_total_goal,macro_total_fat_delta,macro_total_carbs_delta,macro_protein_delta,macro_total_delta,,macro_total_fat_pct_of_goal,macro_total_carbs_pct_of_goal,macro_protein_pct_of_goal,,macro_by_meal_breakfast_total_fat_actual,macro_by_meal_breakfast_total_carbs_actual,macro_by_meal_breakfast_protein_actual,macro_by_meal_breakfast_total_actual,macro_by_meal_breakfast_total_fat_pct,macro_by_meal_breakfast_total_carbs_pct,macro_by_meal_breakfast_protein_pct,macro_by_meal_lunch_total_fat_actual,macro_by_meal_lunch_total_carbs_actual,macro_by_meal_lunch_protein_actual,macro_by_meal_lunch_total_actual,macro_by_meal_lunch_total_fat_pct,macro_by_meal_lunch_total_carbs_pct,macro_by_meal_lunch_protein_pct,macro_by_meal_dinner_total_fat_actual,macro_by_meal_dinner_total_carbs_actual,macro_by_meal_dinner_protein_actual,macro_by_meal_dinner_total_actual,macro_by_meal_dinner_total_fat_pct,macro_by_meal_dinner_total_carbs_pct,macro_by_meal_dinner_protein_pct,,micro_sodium_actual,micro_potassium_actual,micro_dietary_fiber_actual,micro_sugars_actual,micro_vitamin_a_mcg_rae_actual,micro_vitamin_c_mg_actual,micro_vitamin_d_mcg_actual,micro_calcium_mg_actual,micro_iron_mg_actual,micro_sodium_goal,micro_potassium_goal,micro_dietary_fiber_goal,micro_sugars_goal,micro_vitamin_a_mcg_rae_goal,micro_vitamin_c_mg_goal,micro_vitamin_d_mcg_goal,micro_calcium_mg_goal,micro_iron_mg_goal,micro_sodium_delta,micro_potassium_delta,micro_dietary_fiber_delta,micro_sugars_delta,micro_vitamin_a_mcg_rae_delta,micro_vitamin_c_mg_delta,micro_vitamin_d_mcg_delta,micro_calcium_mg_delta,micro_iron_mg_delta,,micro_sodium_pct_of_goal,micro_potassium_pct_of_goal,micro_dietary_fiber_pct_of_goal,micro_sugars_pct_of_goal,micro_vitamin_a_mcg_rae_pct_of_goal,micro_vitamin_c_mg_pct_of_goal,micro_vitamin_d_mcg_pct_of_goal,micro_calcium_mg_pct_of_goal,micro_iron_mg_pct_of_goal,,micro_by_meal_breakfast_sodium,micro_by_meal_breakfast_potassium,micro_by_meal_breakfast_dietary_fiber,micro_by_meal_breakfast_sugars,micro_by_meal_breakfast_vitamin_a_mcg_rae,micro_by_meal_breakfast_vitamin_c_mg,micro_by_meal_breakfast_vitamin_d_mcg,micro_by_meal_breakfast_calcium_mg,micro_by_meal_breakfast_iron_mg,micro_by_meal_lunch_sodium,micro_by_meal_lunch_potassium,micro_by_meal_lunch_dietary_fiber,micro_by_meal_lunch_sugars,micro_by_meal_lunch_vitamin_a_mcg_rae,micro_by_meal_lunch_vitamin_c_mg,micro_by_meal_lunch_vitamin_d_mcg,micro_by_meal_lunch_calcium_mg,micro_by_meal_lunch_iron_mg,micro_by_meal_dinner_sodium,micro_by_meal_dinner_potassium,micro_by_meal_dinner_dietary_fiber,micro_by_meal_dinner_sugars,micro_by_meal_dinner_vitamin_a_mcg_rae,micro_by_meal_dinner_vitamin_c_mg,micro_by_meal_dinner_vitamin_d_mcg,micro_by_meal_dinner_calcium_mg,micro_by_meal_dinner_iron_mg
2026-04-16,,2004.7502,4000.0,1995.2498,,0.0,2004.7502,0.0,0.0,2004.7502,1333.3333,1333.3333,1333.3333,,4000.0,1333.3333,-671.4169,1333.3333,0.0,1995.2498,,0.0,1.0,0.0,0.0,,114.4929,116.9449,139.264,370.7018,200.0,400.0,250.0,850.0,85.5071,283.0551,110.736,479.2982,,0.572464,0.292362,0.557056,,0.0,0.0,0.0,0.0,,,,114.4929,116.9449,139.264,370.7018,0.308854,0.315469,0.375677,0.0,0.0,0.0,0.0,,,,,545.0368,2766.6725,14.6373,3.9967,124.4118,5.2941,0.4911,301.7017,15.7697,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,3454.9632,1933.3275,30.3627,76.0033,775.5882,494.7059,49.5089,898.2983,-0.7697,,0.136259,0.588654,0.325272,0.049959,0.138235,0.010588,0.009821,0.251418,1.051317,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0368,2766.6725,14.6373,3.9967,124.4118,5.2941,0.4911,301.7017,15.7697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-17,,3312.1467,4000.0,687.8533,,1579.9268,0.0,1702.2199,30.0,3312.1467,1333.3333,1333.3333,1333.3333,,4000.0,-246.5935,1333.3333,-368.8866,-30.0,687.8533,,0.47701,0.0,0.513933,0.009058,,163.9913,278.6194,200.9951,643.6058,200.0,400.0,250.0,850.0,36.0087,121.3806,49.0049,206.3942,,0.819957,0.696548,0.80398,,87.0177,111.3775,98.2092,296.6044,0.29338,0.375508,0.331112,0.0,0.0,0.0,0.0,,,,76.9736,161.2419,102.7858,341.0014,0.225728,0.472848,0.301423,,1453.3128,5228.2808,35.6916,19.6706,2167.7229,15.8213,106.7137,927.584,30.4864,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,2546.6872,-528.2808,9.3084,60.3294,-1267.7229,484.1787,-56.7137,272.416,-15.4864,,0.363328,1.1124,0.793146,0.245882,2.408581,0.031643,2.134273,0.772987,2.032425,,738.6886,2145.1705,15.0956,3.8995,598.6618,6.7941,6.2473,442.0588,14.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.6243,3083.1103,20.596,11.7711,1569.0611,9.0271,0.4663,485.5252,15.7784
2026-04-29,,5117.2918,4000.0,-1117.2918,,1256.192,1804.4626,2041.6373,15.0,5117.2918,1333.3333,1333.3333,1333.3333,,4000.0,77.1413,-471.1293,-708.3039,-15.0,-1117.2918,,0.24548,0.352621,0.398968,0.002931,,256.5285,435.9512,299.7127,992.1924,200.0,400.0,250.0,850.0,-56.5285,-35.9512,-49.7127,-142.1924,,1.282642,1.089878,1.198851,,63.9567,116.9395,64.5946,245.4908,0.260526,0.47635,0.263124,87.8849,156.7967,108.4578,353.1393,0.248867,0.444008,0.307125,104.6869,159.215,126.6603,390.5622,0.268042,0.407656,0.324302,,2220.915,7702.4821,58.1344,30.0392,4247.1437,1027.8416,62.4085,1412.1565,44.2875,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,1779.085,-3002.4821,-13.1344,49.9608,-3347.1437,-527.8416,-12.4085,-212.1565,-29.2875,,0.555229,1.638826,1.291876,0.375489,4.719049,2.055683,1.24817,1.176797,2.952501,,631.4265,1775.2582,17.0172,4.1871,568.4265,8.9118,5.7,432.8824,12.0726,598.9601,2982.0425,20.4114,12.2736,1695.5995,9.4887,0.5041,393.3109,13.9483,985.5284,2945.1814,20.7059,11.5784,1983.1176,9.4412,6.2045,585.9632,18.2666
2026-06-16,,3361.9487,4000.0,638.0513,,0.0,1528.7873,1810.6614,22.5,3361.9487,1333.3333,1333.3333,1333.3333,,4000.0,1333.3333,-195.454,-477.3281,-22.5,638.0513,,0.0,0.454732,0.538575,0.006693,,165.5667,258.9405,224.3138,648.8211,200.0,400.0,250.0,850.0,34.4333,141.0595,25.6862,201.1789,,0.827834,0.647351,0.897255,,0.0,0.0,0.0,0.0,,,,78.7087,104.7111,108.2981,291.7179,0.269811,0.358946,0.371242,86.858,149.7294,116.0158,352.6031,0.246334,0.42464,0.329026,,1472.8242,4437.4256,26.7077,17.3179,2408.5692,2004.4308,87.5684,683.9,33.1791,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,2527.1758,262.5744,18.2923,62.6821,-1508.5692,-1504.4308,-37.5684,516.1,-18.1791,,0.368206,0.944133,0.593504,0.216474,2.676188,4.008862,1.751368,0.569917,2.211941,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.7,1879.2159,10.1333,3.3778,492.8,0.0,6.3921,208.0143,16.0347,871.6242,2558.2098,16.5744,10.9402,1915.7692,4.4308,6.1763,475.8857,17.1444
2026-06-17,,2907.7397,4000.0,1092.2603,,1104.3095,0.0,1803.4302,0.0,2907.7397,1333.3333,1333.3333,1333.3333,,4000.0,229.0238,1333.3333,-470.0968,0.0,1092.2603,,0.379783,0.0,0.620217,0.0,,136.3247,256.1349,179.331,571.7906,200.0,400.0,250.0,850.0,63.6753,143.8651,70.669,278.2094,,0.681623,0.640337,0.717324,,49.2738,108.6452,63.8714,221.7905,0.222164,0.489855,0.287981,0.0,0.0,0.0,0.0,,,,87.0509,147.4897,115.4595,350.0001,0.248717,0.421399,0.329884,,1540.2357,3877.1254,26.9333,14.8444,2638.0,4.8,12.4796,918.7929,28.6632,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,2459.7643,822.8746,18.0667,65.1556,-1738.0,495.2,37.5204,281.2071,-13.6632,,0.385059,0.82492,0.598519,0.185556,2.931111,0.0096,0.249593,0.765661,1.910881,,632.1429,1310.2381,10.4,3.4667,579.0,0.0,6.0,415.7143,11.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.0929,2566.8873,16.5333,11.3778,2059.0,4.8,6.4796,503.0786,17.0232
2026-06-18,,689.5978,4000.0,3310.4022,,0.0,689.5978,0.0,0.0,689.5978,1333.3333,1333.3333,1333.3333,,4000.0,1333.3333,643.7355,1333.3333,0.0,3310.4022,,0.0,1.0,0.0,0.0,,36.735,40.2,50.4316,127.3666,200.0,400.0,250.0,850.0,163.265,359.8,199.5684,722.6334,,0.183675,0.1005,0.201726,,0.0,0.0,0.0,0.0,,,,36.735,40.2,50.4316,127.3666,0.288419,0.315624,0.395956,0.0,0.0,0.0,0.0,,,,,261.9481,1236.6797,6.1846,7.7308,1422.4615,4.6385,0.3698,81.8179,5.3253,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,3738.0519,3463.3203,38.8154,72.2692,-522.4615,495.3615,49.6302,1118.1821,9.6747,,0.065487,0.263123,0.137436,0.096635,1.580513,0.009277,0.007396,0.068182,0.355021,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.9481,1236.6797,6.1846,7.7308,1422.4615,4.6385,0.3698,81.8179,5.3253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,,1162.3491,4000.0,2837.6509,,0.0,1162.3491,0.0,0.0,1162.3491,1333.3333,1333.3333,1333.3333,,4000.0,1333.3333,170.9842,1333.3333,0.0,2837.6509,,0.0,1.0,0.0,0.0,,23.2214,149.4183,97.1916,269.8314,200.0,400.0,250.0,850.0,176.7786,250.5817,152.8084,580.1686,,0.116107,0.373546,0.388767,,0.0,0.0,0.0,0.0,,,,23.2214,149.4183,97.1916,269.8314,0.086059,0.553747,0.360194,0.0,0.0,0.0,0.0,,,,,350.6383,2826.2213,19.3906,12.3625,1642.3835,8.8371,0.4707,106.0184,9.5658,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,3649.3617,1873.7787,25.6094,67.6375,-742.3835,491.1629,49.5293,1093.9816,5.4342,,0.08766,0.601324,0.430903,0.154531,1.824871,0.017674,0.009413,0.088349,0.637717,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.6383,2826.2213,19.3906,12.3625,1642.3835,8.8371,0.4707,106.0184,9.5658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,,1260.0695,4000.0,2739.9305,,0.0,1260.0695,0.0,0.0,1260.0695,1333.3333,1333.3333,1333.3333,,4000.0,1333.3333,73.2638,1333.3333,0.0,2739.9305,,0.0,1.0,0.0,0.0,,27.4807,159.4712,103.2498,290.2018,200.0,400.0,250.0,850.0,172.5193,240.5288,146.7502,559.7982,,0.137404,0.398678,0.412999,,0.0,0.0,0.0,0.0,,,,27.4807,159.4712,103.2498,290.2018,0.094695,0.549519,0.355786,0.0,0.0,0.0,0.0,,,,,370.4441,3072.5575,21.688,13.1015,1715.3754,10.9208,0.4953,113.355,10.2605,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,3629.5559,1627.4425,23.312,66.8985,-815.3754,489.0792,49.5047,1086.645,4.7395,,0.092611,0.653736,0.481957,0.163769,1.905973,0.021842,0.009907,0.094463,0.68403,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.4441,3072.5575,21.688,13.1015,1715.3754,10.9208,0.4953,113.355,10.2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,,2367.8405,4000.0,1632.1595,,0.0,1248.456,1119.3846,0.0,2367.8405,1333.3333,1333.3333,1333.3333,,4000.0,1333.3333,84.8774,213.9488,0.0,1632.1595,,0.0,0.527255,0.472745,0.0,,44.174,302.6778,205.9499,552.8017,200.0,400.0,250.0,850.0,155.826,97.3222,44.0501,297.1983,,0.22087,0.756694,0.8238,,0.0,0.0,0.0,0.0,,,,26.6124,153.5667,107.7143,287.8933,0.092438,0.533415,0.374147,17.5616,149.1111,98.2356,264.9084,0.066293,0.562878,0.370829,,713.3324,5657.6661,37.1391,23.7579,3071.9698,14.4231,0.9593,204.1429,19.7412,4000.0,4700.0,45.0,80.0,900.0,500.0,50.0,1200.0,15.0,3286.6676,-957.6661,7.8609,56.2421,-2171.9698,485.5769,49.0407,995.8571,-4.7412,,0.178333,1.203759,0.825313,0.296974,3.4133,0.028846,0.019187,0.170119,1.316077,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.7179,2997.6452,20.175,11.8417,1488.9643,9.3,0.4904,104.7393,10.2075,346.6146,2660.0208,16.9641,11.9162,1583.0055,5.1231,0.469,99.4036,9.5337
